,normalized_Sp_MCF7 T_0A,normalized_Sp_MCF7 T_3A,normalized_Sp_MCF7 T_6A,normalized_Sp_MCF7 T_9A,normalized_Sp_MCF7 T_12A,normalized_Sp_MCF7 T_24A,normalized_Sp_MCF7 T_0B,normalized_Sp_MCF7 T_3B,normalized_Sp_MCF7 T_6B,normalized_Sp_MCF7 T_9B,normalized_Sp_MCF7 T_12B,normalized_Sp_MCF7 T_24B,normalized_Sp_MCF7 T_0C,normalized_Sp_MCF7 T_3C,normalized_Sp_MCF7 T_6C,normalized_Sp_MCF7 T_9C,normalized_Sp_MCF7 T_12C,normalized_Sp_MCF7 T_24C
WASH7P,0.7886064150413915,0.8522148896501949,0.9229804283407445,0.8903333938037276,0.9558236979908358,1.0,0.8409353791578842,0.7828220791767747,0.826198405089088,0.8166325281599747,0.9150733902290756,0.9412437878730481,0.8178641409839505,0.7365392927649502,0.8556679487576102,0.8888213984696969,0.9048846035339562,0.930573007873896
ENSG00000238009,0.5566086929526249,0.8480101163923196,0.8847039748018432,0.8062653312798149,0.8080883946614762,0.7187839476913516,0.5800962466351683,0.7411669659765316,0.6508338658242884,0.8531922647581953,0.7944009440539462,0.7382781560895626,0.5832071851022198,0.5861003919310731,0.688272467572609,0.7129097532591715,0.7500920910223936,1.0
ENSG00000241860,0.48561268619846354,0.5483699657126496,0.7831395030485299,0.8593005407223532,0.776057223923365,0.8749872125143205,0.5461266466069827,0.5976905450266233,0.7320833960494568,0.8334669777537789,0.8863159810532325,0.8525900799916288,0.5398404969792342,0.5414216705773839,0.8154702138473652,0.8081640816358168,0.8603590850482662,1.0
WASH9P,0.8450526503252531,0.817331703003471,0.8600648215026204,0.8864777524924271,0.9621945355965905,1.0,0.8509486982206789,0.7952269568109963,0.8716957420926364,0.8853127055310074,0.943816280867048,0.9504147862764097,0.8831931839019086,0.7515105873613065,0.884384671255285,0.893173135309452,0.9497906969277318,0.9526448433431917
ENSG00000228463,0.6843772329710542,0.6437780119096014,0.7012643148845104,0.7412081402725926,0.8027636466089871,0.9083373834694752,0.7918199864558121,0.677681649864458,0.6662815857858143,0.7509951979898102,0.7957741522545584,0.909237932957571,0.7321723339596904,0.5878684172460992,0.6523761710778926,0.7150603105842369,0.8204481233813179,1.0
ENSG00000286448,0.7827240288588411,0.7977224709049913,0.7169763159388718,0.7760694845118968,0.7845161674002311,0.6976509123768144,0.8547600135156812,0.6954188329812145,0.5694005831106793,0.6881744225807821,0.6995253608006502,1.0,0.5655970306677207,0.5202506451308303,0.5105272451658448,0.65730865344464,0.7420296942863327,0.9863589093563327
ENSG00000290385,0.56295100288933,0.6185048368638811,0.9112109355912729,0.9273027417867121,0.915339073059085,0.8779432503944364,0.5553469666146331,0.758775435820384,0.841498034045979,0.8105326515202858,0.9539505718625338,0.8681482931301622,0.6210195190813748,0.7760377278275834,0.9073959470447048,0.8468648968127435,0.8610158477086084,1.0
ENSG00000250575,0.6247909845347264,0.6091976331858159,0.7883612996157273,0.8806258172558593,0.9411661299584183,0.8281697526134402,0.5639616040157709,0.6461641475225449,0.7552393817970706,0.7438300379509429,0.8935334940904419,0.8212272429152355,0.6242042770857502,0.6016047895621598,0.7009148488497141,0.7779856709134189,1.0,0.9284759877649662
ENSG00000230021,0.5824751898712492,0.42873746737552404,0.591147038845126,0.5380590366800969,0.5580525630495218,0.7538965041722214,0.4450363911014185,0.4573570905816417,0.3382386355765431,0.6340468445627516,0.5516822584265254,0.7054056347340816,0.5052660580477802,0.6764750904135094,0.5530549358316414,0.41471036532610045,0.5317403707830725,1.0
ENSG00000291215,0.6124358412447658,0.676941031295185,0.913794786164244,0.9172890213865517,1.0,0.8994067714404904,0.6146677527258102,0.7457800850636539,0.8471050816467331,0.8231592414642348,0.9431552893415425,0.848321558786249,0.6472725552618573,0.7285956026828655,0.8755074684606183,0.8514355741553649,0.9584423762607731,0.9375671086821528
ENSG00000228327,0.5524504019470803,0.562400175527048,0.9376263967882746,0.9800147324185768,0.8851347964675653,0.8310339714713922,0.5483326650429804,0.7058143766001226,0.8761896605445253,0.8605470834748791,0.8608410810999512,0.8601996393986123,0.5372665519500021,0.6733589046010798,0.8386130454341887,1.0,0.8411212074706779,0.9622044152779683
LINC01409,0.3519565012229271,0.6819169149124008,0.7988908830589992,0.7024312562533312,0.614935501696542,0.6045831562717042,0.3357878236408449,0.9800385860765748,0.5877053303728241,0.6567742417803579,0.5964457539543795,0.6364081914182678,0.5188476877243772,1.0,0.6016735569736035,0.7436739757196092,0.733808533792803,0.7890618589718179
LINC01128,0.8408638184459044,0.91148698319964,0.8378442474562928,0.7067034356008396,0.6966914199265104,0.723991941243229,0.7551705675703421,0.8969957890282868,0.7560508243552382,0.7626201426083836,0.6796040561884035,0.6982812100283771,0.7547699629356093,1.0,0.8222305854593707,0.6763556617650934,0.7230511574602062,0.6212044024520642
SAMD11,0.9340199096475821,0.7175275984029416,0.5743877851903215,0.5678742325346586,0.5861710042117088,0.7144807941519623,1.0,0.7084796045678337,0.6001292498034926,0.5752907783517672,0.5831765611240805,0.6827693000091299,0.9829153859923386,0.7109004360027691,0.6302420427854178,0.5757714355564405,0.5882635526882064,0.5812943196100376
NOC2L,0.9964604200764657,0.8949184490956601,0.6982471958020993,0.6263012478803712,0.6241127505151476,0.6507959498850102,1.0,0.880710377654644,0.7123485240551803,0.6440140563086828,0.6477231889372465,0.6320055843433546,0.9834964156725147,0.886789365425067,0.7427524344234421,0.6161060951078582,0.6323327962552387,0.5636908970168744
KLHL17,0.9241211645315432,0.6746051350276094,0.822430088184666,0.8583373598968524,0.820600995230077,0.8174442793531856,0.892630631565771,0.660655167339243,0.7890093065278266,0.7556673133472755,0.7937501533663772,0.7365228408614555,1.0,0.6946015870098381,0.7740405866903226,0.8608453580865176,0.8379408780494135,0.6804066647678123
PLEKHN1,0.9952505917560572,0.6902049314079326,0.3457986353424861,0.4736588132072246,0.5314760756120287,0.7757867255603156,0.9275667678394519,0.7061082789529419,0.39419520887030696,0.4162698180540511,0.5520796631311312,0.7645572321297124,1.0,0.7181687960537527,0.39732241034906357,0.4510968502508092,0.6130987119075169,0.7836966601918155
ISG15,0.3015747317929077,0.3207591422587255,0.30360144217231166,0.3290455779869672,0.2990059411894969,0.7423731008162676,0.4009049449109554,0.31200824220085716,0.2617322775294679,0.29479823526958626,0.28151687261271263,0.3960908623606054,0.3802047211868123,0.36078671488720504,0.6435634955284649,0.31060611724012466,0.5593120937125652,1.0
AGRN,0.8916972548575263,0.8098869314581169,0.7874359059323809,0.8946640201822824,0.9279712410698213,1.0,0.9180749188129709,0.8068198468747424,0.7944557806270411,0.8220346425091212,0.8870109749168625,0.9056959465474669,0.9135013686227845,0.789588848915314,0.8169187256063818,0.870690040410692,0.9856225312493723,0.879377295010957
ENSG00000242590,0.8293651580425077,0.7989622466415665,0.7555587975959884,0.8716881430167952,0.8838616004224964,1.0,0.9139360325028502,0.7967329906562253,0.7672689503190468,0.8798741351811794,0.8755663002831465,0.9014724698426446,0.8747233473392723,0.7682564981575574,0.7792788148930422,0.8075522187226544,0.9571884669783844,0.8428349105517261
ENSG00000291156,0.42386193721273296,0.42998795165536946,0.5360827868934411,0.6361296808656844,0.8062826105393277,0.7159523745640827,0.43690131728558623,0.4796102178384367,0.46371912939980536,0.6578236012338549,0.7377217755736928,0.7928465415396606,0.3750470821118891,0.40706888565632937,0.49373014765667766,0.6892159879302636,0.7447688568280411,1.0
ENSG00000217801,0.5749735586940646,0.5400019406970116,0.5909202267538416,0.690452631610776,0.9669199777314845,0.7536072481470922,0.5768902801738846,0.7078941076609992,0.7172737952668061,0.5568417102271652,1.0,0.7403917329385347,0.73173874378229,0.7140836097548585,0.624840863114587,0.7738289975642183,0.8690619353926745,0.9032677578202823
RNF223,1.0,0.5805202289191442,0.4999315924969951,0.5513122798119263,0.6735857672127025,0.7476190545257344,0.9253443010167978,0.6207908634678027,0.4597193245703871,0.5391005456203266,0.605165707989246,0.7128276276401675,0.9588086207298925,0.6173876864242476,0.49621764441073624,0.5350755508288536,0.6182397579733918,0.7176078811577926
C1orf159,1.0,0.7253699438696298,0.7786477216718642,0.6869587136483338,0.773593235192247,0.8098401225486226,0.9616291051263949,0.7827902929381084,0.6951619137955112,0.6163753224477035,0.7605294791363072,0.7147408432290848,0.9644860806019775,0.7225211575451157,0.6913014710689139,0.6523163676023628,0.7481682692969676,0.7598944097023322
SDF4,0.9384123696701324,0.9913112392355882,0.8015791038493113,0.7987560175583823,0.8706056721026468,0.808797659120252,0.9404811474736728,0.947959525705889,0.8545674903793578,0.8192784662765565,0.8614018562781748,0.8138969911373773,1.0,0.887145769821902,0.8954921785636154,0.8406975918630821,0.9008687318051084,0.7599439573682594
UBE2J2,0.91158602712739,0.7860891402936993,0.701932725471524,0.7092527837279184,0.7353961201827295,0.7698070089006311,0.9039629131724971,0.7929638656574122,0.7195118669124425,0.6903965507205008,0.7225058044036542,0.7456613881319025,1.0,0.826404492697843,0.7222822071146997,0.6789022157180109,0.6845504726399813,0.7125710328812779
ACAP3,0.92691085074754,0.8000346348702496,0.7327659951318474,0.7976531213496757,0.8123222846988846,0.8469598392949124,0.9192901133398185,0.7769980862390529,0.7227430982749131,0.7524826826211038,0.7722258613974807,0.7763519265196022,1.0,0.7847852008830811,0.734318445700064,0.7292100219867241,0.8586469806263425,0.7696319149529525
INTS11,0.9820536475956664,0.9210948881638276,0.8804645758080962,0.9091017811481128,0.937034405593678,0.9648657597399872,0.9857406186210751,0.8854392998889457,0.8483699483890393,0.8508696671799799,0.9546718991458978,0.8644579672602053,0.9904309884776202,0.804417829214215,0.8922475939993936,0.8884685833733263,1.0,0.8816199366140556
ENSG00000240731,0.8323783534355121,0.7675142194869233,0.8102813946806979,0.8316993464248061,0.6660070710770238,0.7126627768640439,1.0,0.8550964307123555,0.7772226093784207,0.7766366867105041,0.7105552864128535,0.7769691222136194,0.8060022471377744,0.7409926543995045,0.9506255667315081,0.7166764343791886,0.8199596945437757,0.9609660388591507
DVL1,1.0,0.7229098093778842,0.6093877180608528,0.7513289712166359,0.8609447121181698,0.8828769299832161,0.9097210497374554,0.7276036107245374,0.6669948345218372,0.7389874360610776,0.8084154065188309,0.802712182311009,0.9726229270637438,0.6870550592862408,0.6857258055437514,0.7309017344592019,0.8539673040958616,0.8893727615325597
CCNL2,0.7712094034213801,0.8634856943644235,1.0,0.8692381464306692,0.8167634841698941,0.780225803630058,0.8216543742655852,0.8995795615257439,0.9145083227419701,0.8288668211907878,0.7907217210013209,0.7149991550570798,0.842434451941254,0.9447833803319924,0.9011050249206606,0.8783186429201685,0.7877658451492628,0.7648855495558536
MRPL20,1.0,0.8987405600565995,0.6621207548471189,0.6176308449143809,0.7190025949652055,0.7779895738940608,0.9577479434479675,0.9061377534386831,0.6845036339464737,0.7006502089641401,0.6880495666819569,0.7639245137810462,0.934570087560019,0.9549028370166073,0.757637372802791,0.6701244979722026,0.684416503074918,0.6645420795164947
ATAD3C,0.9775606243835666,0.9574929866866568,0.5448443860784004,0.5888431372687627,0.5605010004113566,0.5090448406171743,1.0,0.8668638127863787,0.5716761341709045,0.46357383625355675,0.6062535929944529,0.42867261915234167,0.996035297275949,0.827321895688767,0.7317765153976358,0.560477724322186,0.5690237535411545,0.5093120005953499
ATAD3B,0.9645587590822149,0.9437586535040551,0.6285957736235186,0.511851741412735,0.5350131719227585,0.5173219269303357,1.0,0.9282593540426084,0.620338198405975,0.4971300920307374,0.5332352470501656,0.4741211757126353,0.9690376091657633,0.9957800187594145,0.638532211100969,0.5397011751419936,0.5484733964836142,0.5002842517638763
ATAD3A,0.9702581469559525,0.9640452113726046,0.6217236639837453,0.6115404807228075,0.5991085645763135,0.5190149182876962,1.0,0.8878284161991716,0.6387260885173583,0.5573215458342109,0.6103475921753794,0.4802918570149243,0.9963039294612109,0.9132933657047654,0.6743433470200301,0.609643845278485,0.6042575842699225,0.4830727195746191
SSU72,1.0,0.9793123433692812,0.7662210155346096,0.7237534136183877,0.7807080864768652,0.8560804755372895,0.9527213001355066,0.9880796468351981,0.7615892956075955,0.7624194924052458,0.7647051452320824,0.8436243922146507,0.9724041761983926,0.9596509024411211,0.753321625289814,0.7539740512305323,0.7624231790627862,0.8410106827098525
MIB2,0.844084299392885,0.6970082389970468,0.7458682962687208,0.898876399330525,0.9810201900405078,0.9861970199120987,0.8298664602665078,0.6263559538556576,0.7071688995582778,0.8324670351897457,0.9671201549785121,0.9021009954307139,0.9124234724910318,0.6091747986752026,0.6962527985132199,0.8266784226808953,0.9510388286470168,1.0
CDK11B,0.9831040625807151,0.8604837620413098,0.9292857840354636,0.9402708691773916,0.9160394648628365,0.844611321022893,0.9811917625327728,0.8177002617797996,0.9235333686453676,1.0,0.9216210502858149,0.8420454246803436,0.9897376228113179,0.8733298079282811,0.93118272091945,0.9600993105366781,0.9191770020984553,0.8053905519672181
ENSG00000272004,0.9009238999335343,0.6218049608073442,0.8074515285056785,0.9246741175410991,0.7922236000528653,1.0,0.9468488424127799,0.7183337791520901,0.7174755127083655,0.7975849306815805,0.8297476465120633,0.9873933742634999,0.9447191016053573,0.7194754505941323,0.843853142369806,0.9188990942022532,0.890542861327215,0.8695241484001214
SLC35E2B,0.7874286734665187,0.6125219165304991,0.7324905524978055,0.8689326441621794,0.9045741246918481,1.0,0.8004843659614517,0.6420824248057534,0.7386231574508696,0.8308645895338365,0.8453346172039572,0.9724737553677045,0.8111335660007113,0.6249122072132566,0.7524246608143689,0.8490210310227587,0.8889670029250695,0.9614015342900241
