,normalized_Un_MCF7 T_0A,normalized_Un_MCF7 T_3A,normalized_Un_MCF7 T_6A,normalized_Un_MCF7 T_9A,normalized_Un_MCF7 T_12A,normalized_Un_MCF7 T_24A,normalized_Un_MCF7 T_0B,normalized_Un_MCF7 T_3B,normalized_Un_MCF7 T_6B,normalized_Un_MCF7 T_9B,normalized_Un_MCF7 T_12B,normalized_Un_MCF7 T_24B,normalized_Un_MCF7 T_0C,normalized_Un_MCF7 T_3C,normalized_Un_MCF7 T_6C,normalized_Un_MCF7 T_9C,normalized_Un_MCF7 T_12C,normalized_Un_MCF7 T_24C
WASH7P,0.6077584901490526,0.7969623081802201,1.0,0.89699962867202,0.9341162727231405,0.9129035084871451,0.6391107890931527,0.8629217886471806,0.9340301556647934,0.8422140385847636,0.9050301054475071,0.863058372131861,0.6467222166951869,0.8005460713900592,0.9431391785070828,0.9145164990292214,0.8674254784323787,0.8676402052121515
ENSG00000238009,0.582800225857552,0.5677321446812997,0.5841747298211845,0.6454747010786249,1.0,0.6811470990822249,0.5703049384658003,0.5336076608164023,0.6875984890860939,0.7183160899096448,0.6905555300272096,0.6721897800367048,0.6210887920026066,0.465273477721873,0.6253341805271883,0.5805769821045779,0.7330288870624725,0.807232891581144
ENSG00000241860,0.5042873379766565,0.6795566629320485,0.955350912698479,1.0,0.8870010919856979,0.8463558035626962,0.5851167533868478,0.8076492981263754,0.8833337056728537,0.7510172921753048,0.9062682441485551,0.9966085710565565,0.3348526274627444,0.6541475294492873,0.8428536953493773,0.8699869214168544,0.8552125175810149,0.914711288440666
WASH9P,0.5032554019338533,0.7981044511007355,1.0,0.8547989404963476,0.8817186936936574,0.8806598534323375,0.5506240316392285,0.848260857396694,0.9049471052350679,0.8569049619237721,0.8770481148958005,0.8420293162414065,0.555364093140785,0.8364288835311573,0.9837930887063044,0.8693154657354926,0.8496238125881068,0.8535297748980758
ENSG00000228463,0.7059505448238154,0.6342983014314024,0.6950492172738969,0.7718744755802869,0.7152214453585346,0.8852038509881958,0.7595675194775504,0.6474136770975877,0.696695679019876,0.7835965211072248,0.79313352681743,0.9412765952477762,0.7663692092591198,0.5088891163533652,0.5708515465680212,0.67305167464262,0.8200207621335934,1.0
ENSG00000286448,0.6417536383979695,0.6193296099521952,0.714026570813523,0.7077043225812926,0.8926646111789205,0.7998567630303118,0.6748596373196506,0.6393598836934913,0.60335615018774,0.7651045678067593,0.7654116682790831,0.8882225185779336,0.805611994560534,0.5664431243798785,0.5951686065988173,0.6684503110725765,0.8104334987443776,1.0
ENSG00000290385,0.5968331531065518,0.6919917859592399,0.8975280804046052,0.8935652816844976,1.0,0.8928716642776419,0.6141206814888212,0.7678093721966974,0.8930381795013757,0.8098287440188557,0.9166027006899923,0.901931428104096,0.6469895160946302,0.7371248777564171,0.8679608137952186,0.8595284379980398,0.9634935120139474,0.982561464016072
ENSG00000250575,0.6987020460079771,0.5409543250721385,0.567283417683688,0.8405510297870316,0.9255986111617629,0.6826325972633979,0.5434057697160306,0.5505843059585549,0.824341600845353,0.7605642871395426,1.0,0.7655751252153556,0.6832846631053483,0.5914631919181657,0.8296926687173116,0.7738289975642184,0.9638525848187868,0.8350208605627498
ENSG00000230021,0.843012142936629,0.8109999074976759,1.0,0.9411131913407066,0.8533217960843099,0.6991513307309306,0.8420341741404517,0.9013140734742918,0.8813887516434145,0.960639303819183,0.7774018407088781,0.6945394802155013,0.9109370069526926,0.9062069286404754,0.7987802379167439,0.9425324286150703,0.7807915552371224,0.6824755098898103
ENSG00000291215,0.5646299534825723,0.7685133320724714,1.0,0.9634530805195504,0.9017955857518958,0.8127393502068817,0.6366460574567415,0.893827481927207,0.9881099752503046,0.853979747630881,0.8722372363248208,0.8456248708762751,0.6078343318284355,0.7972345071203016,0.9195688031142312,0.9141275188913683,0.8494762362496446,0.8256425656734941
